timestamp_ms,motor_state_0,motor_state_1,motor_state_2,motor_setpoint_0,motor_setpoint_1,motor_setpoint_2,error_0_k,error_0_k1,error_0_k2,error_1_k,error_1_k1,error_1_k2,error_2_k,error_2_k1,error_2_k2
7099.0,0.030889302492141724,-0.1028866320848465,-3.8722898960113525,5.907692909240723,5.907691955566406,-11.815385818481445,5.876803398132324,0.0,0.0,6.010578632354736,0.0,0.0,-7.943096160888672,0.0,0.0
7100.0,-0.06461527198553085,-0.054259926080703735,-3.7383689880371094,5.907692909240723,5.907691955566406,-11.815385818481445,5.972308158874512,5.876803398132324,0.0,5.961951732635498,6.010578632354736,0.0,-8.077016830444336,-7.943096160888672,0.0
7101.0,0.07882438600063324,-0.10131517052650452,-3.8913791179656982,5.907692909240723,5.907691955566406,-11.815385818481445,5.828868389129639,5.972308158874512,5.876803398132324,6.009006977081299,5.961951732635498,6.010578632354736,-7.924006462097168,-8.077016830444336,-7.943096160888672
7102.0,0.006639391183853149,0.01869257539510727,-3.662071704864502,5.907692909240723,5.907691955566406,-11.815385818481445,5.901053428649902,5.828868389129639,5.972308158874512,5.8889994621276855,6.009006977081299,5.961951732635498,-8.153314590454102,-7.924006462097168,-8.077016830444336
7103.0,0.054173216223716736,-0.1718904674053192,-3.815844774246216,5.907692909240723,5.907691955566406,-11.815385818481445,5.853519916534424,5.901053428649902,5.828868389129639,6.079582214355469,5.8889994621276855,6.009006977081299,-7.999541282653809,-8.153314590454102,-7.924006462097168
7104.0,0.006031263619661331,-0.05117219686508179,-4.0156779289245605,5.907692909240723,5.907691955566406,-11.815385818481445,5.9016618728637695,5.853519916534424,5.901053428649902,5.958864212036133,6.079582214355469,5.8889994621276855,-7.799707889556885,-7.999541282653809,-8.153314590454102
7105.0,0.005970951169729233,-0.07445939630270004,-4.070719242095947,5.907692909240723,5.907691955566406,-11.815385818481445,5.901721954345703,5.9016618728637695,5.853519916534424,5.982151508331299,5.958864212036133,6.079582214355469,-7.744666576385498,-7.799707889556885,-7.999541282653809
7106.0,0.05351146310567856,-0.3117087483406067,-3.9824142456054688,5.907692909240723,5.907691955566406,-11.815385818481445,5.854181289672852,5.901721954345703,5.9016618728637695,6.219400882720947,5.982151508331299,5.958864212036133,-7.832971572875977,-7.744666576385498,-7.799707889556885
7107.0,0.052976347506046295,0.45298802852630615,-3.9901881217956543,5.907692909240723,5.907691955566406,-11.815385818481445,5.854716777801514,5.854181289672852,5.901721954345703,5.4547038078308105,6.219400882720947,5.982151508331299,-7.825197696685791,-7.832971572875977,-7.744666576385498
7108.0,-0.018952559679746628,-0.09892645478248596,-4.045482158660889,5.907692909240723,5.907691955566406,-11.815385818481445,5.926645278930664,5.854716777801514,5.854181289672852,6.006618499755859,5.4547038078308105,6.219400882720947,-7.769903659820557,-7.825197696685791,-7.832971572875977
