timestamp_ms,motor_state_0,motor_state_1,motor_state_2,motor_setpoint_0,motor_setpoint_1,motor_setpoint_2,error_0_k,error_0_k1,error_0_k2,error_1_k,error_1_k1,error_1_k2,error_2_k,error_2_k1,error_2_k2
60875.0,11.791410446166992,6.34607458114624,-19.57246971130371,5.907692909240723,5.907691955566406,-11.815385818481445,-5.8837175369262695,0.8466291427612305,0.8628330230712891,-0.438382625579834,-7.398555755615234,-7.336203575134277,7.757083892822266,-0.8641586303710938,-1.04152250289917
60876.0,11.791410446166992,6.34607458114624,-19.57246971130371,5.907692909240723,5.907691955566406,-11.815385818481445,-5.8837175369262695,-5.8837175369262695,0.8466291427612305,-0.438382625579834,-0.438382625579834,-7.398555755615234,7.757083892822266,7.757083892822266,-0.8641586303710938
60877.0,11.744894027709961,6.401613235473633,-19.805133819580078,5.907692909240723,5.907691955566406,-11.815385818481445,-5.837201118469238,-5.8837175369262695,-5.8837175369262695,-0.49392127990722656,-0.438382625579834,-0.438382625579834,7.989748001098633,7.757083892822266,7.757083892822266
60878.0,11.817838668823242,6.171000003814697,-19.868873596191406,5.907692909240723,5.907691955566406,-11.815385818481445,-5.9101457595825195,-5.837201118469238,-5.8837175369262695,-0.263308048248291,-0.49392127990722656,-0.438382625579834,8.053487777709961,7.989748001098633,7.757083892822266
60879.0,11.723459243774414,6.323480606079102,-20.169967651367188,5.907692909240723,5.907691955566406,-11.815385818481445,-5.815766334533691,-5.9101457595825195,-5.837201118469238,-0.4157886505126953,-0.263308048248291,-0.49392127990722656,8.354581832885742,8.053487777709961,7.989748001098633
60880.0,11.653823852539062,6.236451625823975,-20.158660888671875,5.907692909240723,5.907691955566406,-11.815385818481445,-5.74613094329834,-5.815766334533691,-5.9101457595825195,-0.32875967025756836,-0.4157886505126953,-0.263308048248291,8.34327507019043,8.354581832885742,8.053487777709961
60881.0,11.727679252624512,6.19788122177124,-20.40926170349121,5.907692909240723,5.907691955566406,-11.815385818481445,-5.819986343383789,-5.74613094329834,-5.815766334533691,-0.290189266204834,-0.32875967025756836,-0.4157886505126953,8.593875885009766,8.34327507019043,8.354581832885742
60882.0,11.634201049804688,6.016907691955566,-20.585956573486328,5.907692909240723,5.907691955566406,-11.815385818481445,-5.726508140563965,-5.819986343383789,-5.74613094329834,-0.10921573638916016,-0.290189266204834,-0.32875967025756836,8.770570755004883,8.593875885009766,8.34327507019043
60883.0,11.58925724029541,5.932939529418945,-20.57048988342285,5.907692909240723,5.907691955566406,-11.815385818481445,-5.6815643310546875,-5.726508140563965,-5.819986343383789,-0.025247573852539062,-0.10921573638916016,-0.290189266204834,8.755104064941406,8.770570755004883,8.593875885009766
60884.0,11.520963668823242,6.016403675079346,-20.74557113647461,5.907692909240723,5.907691955566406,-11.815385818481445,-5.6132707595825195,-5.6815643310546875,-5.726508140563965,-0.10871171951293945,-0.025247573852539062,-0.10921573638916016,8.930185317993164,8.755104064941406,8.770570755004883
60885.0,11.54854965209961,5.908646583557129,-21.06169891357422,5.907692909240723,5.907691955566406,-11.815385818481445,-5.640856742858887,-5.6132707595825195,-5.6815643310546875,-0.0009546279907226562,-0.10871171951293945,-0.025247573852539062,9.246313095092773,8.930185317993164,8.755104064941406
60886.0,11.433064460754395,5.706761837005615,-21.041475296020508,5.907692909240723,5.907691955566406,-11.815385818481445,-5.525371551513672,-5.640856742858887,-5.6132707595825195,0.20093011856079102,-0.0009546279907226562,-0.10871171951293945,9.226089477539062,9.246313095092773,8.930185317993164
60887.0,11.437729835510254,5.673493385314941,-21.283246994018555,5.907692909240723,5.907691955566406,-11.815385818481445,-5.530036926269531,-5.525371551513672,-5.640856742858887,0.23419857025146484,0.20093011856079102,-0.0009546279907226562,9.46786117553711,9.226089477539062,9.246313095092773
60888.0,11.394750595092773,5.592959403991699,-21.379804611206055,5.907692909240723,5.907691955566406,-11.815385818481445,-5.487057685852051,-5.530036926269531,-5.525371551513672,0.31473255157470703,0.23419857025146484,0.20093011856079102,9.56441879272461,9.46786117553711,9.226089477539062
60889.0,11.399798393249512,5.703627109527588,-21.47539710998535,5.907692909240723,5.907691955566406,-11.815385818481445,-5.492105484008789,-5.487057685852051,-5.530036926269531,0.20406484603881836,0.31473255157470703,0.23419857025146484,9.660011291503906,9.56441879272461,9.46786117553711
60890.0,11.333399772644043,5.551390171051025,-21.617631912231445,5.907692909240723,5.907691955566406,-11.815385818481445,-5.42570686340332,-5.492105484008789,-5.487057685852051,0.35630178451538086,0.20406484603881836,0.31473255157470703,9.80224609375,9.660011291503906,9.56441879272461
60891.0,11.362861633300781,5.662473678588867,-21.591846466064453,5.907692909240723,5.907691955566406,-11.815385818481445,-5.455168724060059,-5.42570686340332,-5.492105484008789,0.24521827697753906,0.35630178451538086,0.20406484603881836,9.776460647583008,9.80224609375,9.660011291503906
60892.0,11.415827751159668,5.605848789215088,-21.756715774536133,5.907692909240723,5.907691955566406,-11.815385818481445,-5.508134841918945,-5.455168724060059,-5.42570686340332,0.30184316635131836,0.24521827697753906,0.35630178451538086,9.941329956054688,9.776460647583008,9.80224609375
60893.0,11.277870178222656,5.311796188354492,-21.848539352416992,5.907692909240723,5.907691955566406,-11.815385818481445,-5.370177268981934,-5.508134841918945,-5.455168724060059,0.5958957672119141,0.30184316635131836,0.24521827697753906,10.033153533935547,9.941329956054688,9.776460647583008
