timestamp_ms,motor_state_0,motor_state_1,motor_state_2,motor_setpoint_0,motor_setpoint_1,motor_setpoint_2,error_0_k,error_0_k1,error_0_k2,error_1_k,error_1_k1,error_1_k2,error_2_k,error_2_k1,error_2_k2
7105.0,4.55326509475708,4.359848499298096,-4.69306755065918,4.923077583312988,4.923076629638672,-9.84615421295166,0.3698124885559082,0.0,0.0,0.5632281303405762,0.0,0.0,-5.1530866622924805,0.0,0.0
7106.0,4.55326509475708,4.359848499298096,-4.69306755065918,4.923077583312988,4.923076629638672,-9.84615421295166,0.3698124885559082,0.3698124885559082,0.0,0.5632281303405762,0.5632281303405762,0.0,-5.1530866622924805,-5.1530866622924805,0.0
7107.0,4.67432975769043,4.268651485443115,-4.860327243804932,4.923077583312988,4.923076629638672,-9.84615421295166,0.2487478256225586,0.3698124885559082,0.3698124885559082,0.6544251441955566,0.5632281303405762,0.5632281303405762,-4.9858269691467285,-5.1530866622924805,-5.1530866622924805
7108.0,4.651385307312012,4.4639573097229,-4.8355183601379395,4.923077583312988,4.923076629638672,-9.84615421295166,0.27169227600097656,0.2487478256225586,0.3698124885559082,0.4591193199157715,0.6544251441955566,0.5632281303405762,-5.010635852813721,-4.9858269691467285,-5.1530866622924805
7109.0,4.723865985870361,4.514514446258545,-4.763369083404541,4.923077583312988,4.923076629638672,-9.84615421295166,0.19921159744262695,0.27169227600097656,0.2487478256225586,0.40856218338012695,0.4591193199157715,0.6544251441955566,-5.082785129547119,-5.010635852813721,-4.9858269691467285
7110.0,4.676627159118652,4.564566135406494,-4.882332801818848,4.923077583312988,4.923076629638672,-9.84615421295166,0.24645042419433594,0.19921159744262695,0.27169227600097656,0.35851049423217773,0.40856218338012695,0.4591193199157715,-4.9638214111328125,-5.082785129547119,-5.010635852813721
7111.0,4.7964582443237305,4.471322536468506,-4.785906791687012,4.923077583312988,4.923076629638672,-9.84615421295166,0.1266193389892578,0.24645042419433594,0.19921159744262695,0.451754093170166,0.35851049423217773,0.40856218338012695,-5.060247421264648,-4.9638214111328125,-5.082785129547119
7112.0,4.5818963050842285,4.617003440856934,-4.785650253295898,4.923077583312988,4.923076629638672,-9.84615421295166,0.34118127822875977,0.1266193389892578,0.24645042419433594,0.3060731887817383,0.451754093170166,0.35851049423217773,-5.060503959655762,-5.060247421264648,-4.9638214111328125
7113.0,4.559876441955566,4.499435901641846,-5.070983409881592,4.923077583312988,4.923076629638672,-9.84615421295166,0.3632011413574219,0.34118127822875977,0.1266193389892578,0.42364072799682617,0.3060731887817383,0.451754093170166,-4.775170803070068,-5.060503959655762,-5.060247421264648
7114.0,4.633272647857666,4.621035099029541,-4.877475261688232,4.923077583312988,4.923076629638672,-9.84615421295166,0.28980493545532227,0.3632011413574219,0.34118127822875977,0.30204153060913086,0.42364072799682617,0.3060731887817383,-4.968678951263428,-4.775170803070068,-5.060503959655762
