timestamp_ms,motor_state_0,motor_state_1,motor_state_2,motor_setpoint_0,motor_setpoint_1,motor_setpoint_2,error_0_k,error_0_k1,error_0_k2,error_1_k,error_1_k1,error_1_k2,error_2_k,error_2_k1,error_2_k2
14114,0.1045624166727066,5.5193772315979,-13.443507194519043,5.907692909240723,5.907691955566406,-11.815385818481445,5.803130626678467,0.0,0.0,0.38831472396850586,0.0,0.0,1.6281213760375977,0.0,0.0
14115,0.1045624166727066,5.5193772315979,-13.443507194519043,5.907692909240723,5.907691955566406,-11.815385818481445,5.803130626678467,5.803130626678467,0.0,0.38831472396850586,0.38831472396850586,0.0,1.6281213760375977,1.6281213760375977,0.0
14116,0.19766685366630554,5.884973049163818,-13.555424690246582,5.907692909240723,5.907691955566406,-11.815385818481445,5.710026264190674,5.803130626678467,5.803130626678467,0.02271890640258789,0.38831472396850586,0.38831472396850586,1.7400388717651367,1.6281213760375977,1.6281213760375977
14117,0.0033221542835235596,5.148497104644775,-13.474712371826172,5.907692909240723,5.907691955566406,-11.815385818481445,5.9043707847595215,5.710026264190674,5.803130626678467,0.7591948509216309,0.02271890640258789,0.38831472396850586,1.6593265533447266,1.7400388717651367,1.6281213760375977
14118,0.003255711169913411,5.283512115478516,-13.77640151977539,5.907692909240723,5.907691955566406,-11.815385818481445,5.904437065124512,5.9043707847595215,5.710026264190674,0.6241798400878906,0.7591948509216309,0.02271890640258789,1.9610157012939453,1.6593265533447266,1.7400388717651367
14119,0.1935819536447525,5.177842140197754,-13.881661415100098,5.907692909240723,5.907691955566406,-11.815385818481445,5.714110851287842,5.904437065124512,5.9043707847595215,0.7298498153686523,0.6241798400878906,0.7591948509216309,2.0662755966186523,1.9610157012939453,1.6593265533447266
14120,-0.0006810426712036133,5.169486045837402,-12.89005184173584,5.907692909240723,5.907691955566406,-11.815385818481445,5.908373832702637,5.714110851287842,5.904437065124512,0.7382059097290039,0.7298498153686523,0.6241798400878906,1.0746660232543945,2.0662755966186523,1.9610157012939453
14121,0.189723938703537,5.494481563568115,-14.01260757446289,5.907692909240723,5.907691955566406,-11.815385818481445,5.717968940734863,5.908373832702637,5.714110851287842,0.413210391998291,0.7382059097290039,0.7298498153686523,2.1972217559814453,1.0746660232543945,2.0662755966186523
14122,-0.004461899399757385,5.43218994140625,-13.637155532836914,5.907692909240723,5.907691955566406,-11.815385818481445,5.912154674530029,5.717968940734863,5.908373832702637,0.47550201416015625,0.413210391998291,0.7382059097290039,1.8217697143554688,2.1972217559814453,1.0746660232543945
14123,-0.004372661467641592,5.275948524475098,-12.840826988220215,5.907692909240723,5.907691955566406,-11.815385818481445,5.912065505981445,5.912154674530029,5.717968940734863,0.6317434310913086,0.47550201416015625,0.413210391998291,1.0254411697387695,1.8217697143554688,2.1972217559814453
