timestamp_ms,pwm_input,velocity_response
7081,20.0,-0.004063819069415331
7082,20.0,0.019775738939642906
7083,20.0,-0.028024623170495033
7084,20.0,-0.02774437703192234
7085,20.0,-0.05126108229160309
7086,20.0,0.06824612617492676
7087,20.0,0.019965827465057373
7088,20.0,-0.0040327515453100204
7089,20.0,0.019806496798992157
7090,20.0,-0.09939093142747879
7091,20.0,-0.027000270783901215
7092,20.0,0.020872335880994797
7093,20.0,-0.14592881500720978
7094,20.0,0.022122904658317566
7095,20.0,-0.001897243782877922
7096,20.0,0.021920649334788322
7097,20.0,-0.02590116113424301
7098,20.0,0.021960455924272537
7099,20.0,-0.025861753150820732
7100,20.0,-0.0017994493246078491
7101,20.0,-0.02558514103293419
7102,20.0,-0.025329289957880974
7103,20.0,-0.025075998157262802
7104,20.0,-0.0010215509682893753
7105,20.0,-0.024815022945404053
7106,20.0,-0.048361022025346756
7107,20.0,-0.02408326230943203
7108,20.0,-3.8743019104003906e-05
7109,20.0,-0.09523879736661911
7110,20.0,-0.11808056384325027
7111,20.0,-0.1168997585773468
7112,20.0,0.02706274390220642
7113,20.0,-0.11600138992071152
7114,20.0,0.12315257638692856
7115,20.0,-0.09227874130010605
7116,20.0,0.0038444846868515015
7117,20.0,0.07520279288291931
7118,20.0,-0.02074967324733734
7119,20.0,-0.04433632642030716
7120,20.0,-0.0914955735206604
7121,20.0,0.02841874212026596
7122,20.0,-0.11465895175933838
7123,20.0,0.005482226610183716
7124,20.0,0.02922632545232773
7125,20.0,-0.09006530046463013
7126,20.0,-0.017767898738384247
7127,20.0,0.006213467568159103
7128,20.0,-0.017652353271842003
7129,20.0,0.030126774683594704
7130,20.0,0.02982550673186779
7131,20.0,0.0057283323258161545
7132,20.0,-0.08952939510345459
7133,20.0,0.03036525845527649
7134,20.0,-0.01754099875688553
7135,20.0,-0.01736558973789215
7136,20.0,-0.0171919334679842
7137,20.0,0.006783671677112579
7138,20.0,0.0067158350721001625
7139,20.0,0.030447596684098244
7140,20.0,0.006344201043248177
7141,20.0,-0.11271383613348007
7142,20.0,-0.13538561761379242
7143,20.0,-0.015041932463645935
7144,20.0,-0.014891513623297215
7145,20.0,0.009061087854206562
7146,20.0,0.032769396901130676
7147,20.0,0.032441701740026474
7148,20.0,0.03211728483438492
7149,20.0,-0.087203249335289
7150,20.0,0.03266814351081848
7151,20.0,0.03234146162867546
7152,20.0,0.07961589097976685
7153,20.0,-0.016380712389945984
7154,20.0,0.031385697424411774
7155,20.0,-0.01653076522052288
7156,20.0,0.031237147748470306
7157,20.0,0.007125856354832649
7158,20.0,0.007054598070681095
7159,20.0,-0.13580945134162903
7160,20.0,0.032141074538230896
7161,20.0,-0.01578294113278389
7162,20.0,0.031977493315935135
7163,20.0,0.1030544713139534
7164,20.0,0.03062717616558075
7165,20.0,-0.017281699925661087
7166,20.0,0.006694803014397621
7167,20.0,0.10182353854179382
7168,20.0,0.005609624087810516
7169,20.0,0.07695028185844421
7170,20.0,0.028582938015460968
7171,20.0,-0.01930549554526806
7172,20.0,0.028490163385868073
7173,20.0,0.07580310106277466
7174,20.0,0.17024075984954834
7175,20.0,-0.021857768297195435
7176,20.0,0.0021644961088895798
7177,20.0,-0.09305758774280548
7178,20.0,0.09826910495758057
7179,20.0,0.002090737223625183
7180,20.0,0.09726551175117493
7199,20.0,1.1868340969085693
7200,20.0,1.1868340969085693
7201,20.0,1.151162028312683
7202,20.0,1.2586450576782227
7203,20.0,1.4602535963058472
7204,20.0,1.3980531692504883
7205,20.0,1.4316705465316772
7206,20.0,1.5601521730422974
7207,20.0,1.5921437740325928
7208,20.0,1.57622230052948
7209,20.0,1.6794594526290894
7210,20.0,1.5674692392349243
7211,20.0,1.646990180015564
7212,20.0,1.7495149374008179
7213,20.0,1.7082256078720093
7214,20.0,1.7863342761993408
7215,20.0,1.8874703645706177
7216,20.0,1.9875903129577637
7217,20.0,2.0153121948242188
7218,20.0,2.1379573345184326
7219,20.0,2.187974691390991
7220,20.0,2.166095018386841
7221,20.0,2.2396297454833984
7222,20.0,2.288630247116089
7223,20.0,2.4799389839172363
7224,20.0,2.502737522125244
7225,20.0,2.5967049598693848
7226,20.0,2.570737838745117
7227,20.0,2.4974327087402344
7228,20.0,3.0912396907806396
7229,20.0,2.869931221008301
7230,20.0,3.007824182510376
7231,20.0,3.00154972076416
7232,20.0,3.019132137298584
7233,20.0,1.6085846424102783
7234,20.0,3.1156487464904785
7235,20.0,3.1558938026428223
7236,20.0,3.1243348121643066
7237,20.0,3.1882824897766113
7238,20.0,3.2753992080688477
7239,20.0,3.242645263671875
7240,20.0,3.3292136192321777
7241,20.0,3.4149208068847656
7242,20.0,3.3807716369628906
7243,20.0,3.5849530696868896
7244,20.0,3.5015056133270264
7245,20.0,3.633082866668701
7246,20.0,3.668148994445801
7247,20.0,3.702864408493042
7248,20.0,5.165191650390625
7249,20.0,3.7331833839416504
7250,20.0,3.7910521030426025
7251,20.0,3.919734001159668
7252,20.0,3.8805367946624756
7253,20.0,4.03212308883667
7254,20.0,4.1108012199401855
7255,20.0,4.069693088531494
7256,20.0,4.1955885887146
7257,20.0,4.320230007171631
7258,20.0,4.324625492095947
7259,20.0,4.376574993133545
7260,20.0,4.499406814575195
7261,20.0,4.5020060539245605
7262,20.0,4.575985431671143
7263,20.0,4.6730194091796875
7264,20.0,4.673887252807617
7265,20.0,4.817544937133789
7266,20.0,4.769369602203369
7267,20.0,4.793072700500488
7268,20.0,4.983136177062988
7269,20.0,4.909501075744629
7270,20.0,5.003204345703125
7271,20.0,4.953172206878662
7272,20.0,4.9274396896362305
7273,20.0,4.878165245056152
7274,20.0,4.829383850097656
7275,20.0,4.781090259552002
7276,20.0,4.733279228210449
7277,20.0,4.733279228210449
7278,20.0,4.804942607879639
7279,20.0,4.7806925773620605
7280,20.0,4.875680923461914
7281,20.0,4.898322105407715
7282,20.0,4.849339008331299
7283,20.0,4.967440128326416
7284,20.0,5.060561180114746
7285,20.0,5.914325714111328
7286,20.0,5.14120626449585
7287,20.0,5.184990882873535
7288,20.0,5.109341621398926
7289,20.0,5.201043128967285
7290,20.0,5.29182767868042
7291,20.0,5.3341064453125
7292,20.0,5.32836389541626
7293,20.0,5.417875289916992
7294,20.0,5.458893775939941
7295,20.0,5.428104400634766
7296,20.0,5.445220947265625
7297,20.0,5.509765148162842
7298,20.0,5.526065349578857
7317,20.0,6.518514633178711
7318,20.0,6.518514633178711
7319,20.0,6.477128982543945
7320,20.0,6.477128982543945
7321,20.0,6.5551533699035645
7322,20.0,6.537200450897217
7323,20.0,6.5194268226623535
7324,20.0,6.57322883605957
7325,20.0,6.674091815948486
7326,20.0,6.559751987457275
7327,20.0,6.54175329208374
7328,20.0,6.642930030822754
7329,20.0,6.6478986740112305
7330,20.0,6.652817726135254
7331,20.0,6.729084491729736
7332,20.0,6.542797565460205
7333,20.0,6.858157157897949
7334,20.0,6.908572196960449
7335,20.0,6.863285541534424
